Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,279.149994,279.160004,276.970001,277.329987,276.113770,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,273.803986,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,273.256378,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,277.218933,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,278.264313,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,280.106201,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,279.927002,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,281.309998,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,282.329987,62199800
2019-03-19,283.510010,284.359985,281.410004,282.399994,282.399994,90268100
2019-03-20,282.160004,283.500000,280.320007,281.549988,281.549988,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,284.730011,79550400
2019-03-22,283.220001,283.799988,279.179993,279.250000,279.250000,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,279.040009,85575200
2019-03-26,280.989990,282.179993,279.559998,281.119995,281.119995,68125900
2019-03-27,281.109985,281.760010,277.929993,279.649994,279.649994,72224700
2019-03-28,280.350006,281.209991,279.070007,280.709991,280.709991,56238500
2019-03-29,282.390015,282.839996,281.140015,282.480011,282.480011,82186800
2019-04-01,284.700012,286.160004,284.399994,285.829987,285.829987,77617900
2019-04-02,286.040009,286.230011,285.089996,285.970001,285.970001,40070400
2019-04-03,287.320007,287.760010,285.750000,286.420013,286.420013,68243200
2019-04-04,286.779999,287.459991,286.010010,287.179993,287.179993,48898100
2019-04-05,287.920013,288.630005,287.600006,288.519989,288.519989,58621729
